Station,Chip,Channel,Amplitude,T_point,Width,erf_t_point,std_erf_t_point
11,001,0,1000.767211,161.272238,1.923543,161.27223798867178,0.0016060012366284015
11,001,1,1000.07304,233.74269,1.841865,233.74268968644955,0.0036419719715497264
11,001,2,1000.635659,181.384648,1.965088,181.38464792399034,0.004524098511389302
11,001,3,1000.006139,180.409687,1.734234,180.40968676052998,0.0037639526055848935
11,001,4,1001.002002,193.324689,1.848843,193.32468913279303,0.0031190890650692714
11,001,5,1000.742599,195.855577,2.029422,195.85557727328572,0.015885557679613506
11,001,6,1001.054753,187.73549,2.015199,187.73549039845128,0.006775220685259235
11,001,7,1001.014499,186.527393,2.256561,186.52739347252344,9.28881611217786e-05
11,002,0,1000.415915,225.484744,2.012516,225.48474386011011,0.005411040700394444
11,002,1,1000.780052,172.590191,1.859588,172.59019054539795,0.0013102854038277963
11,002,2,1000.686688,188.775675,1.672933,188.7756752709572,0.0019258213415590088
11,002,3,999.692196,188.727153,1.713855,188.7271531413086,0.005474258453770902
11,002,4,1000.339011,194.453135,1.699239,194.45313504862455,0.002925728235906829
11,002,5,999.609028,178.28763,1.620983,178.28763009004572,0.005593139534721811
11,002,6,999.821994,195.436819,1.717217,195.43681874445488,0.004737260063789661
11,002,7,1000.76097,216.958417,2.535736,216.95841749345786,0.0018542111287376747
11,003,0,1001.002271,193.337158,1.911774,193.33715830062135,0.0026328490493560657
11,003,1,999.272205,153.26103,1.730014,153.26102973873645,0.03502604389527168
11,003,2,1000.35904,138.063367,1.794145,138.06336715755862,0.0026327211313539396
11,003,3,1001.000155,182.731765,1.735434,182.73176511766516,0.008021144585336482
11,003,4,1001.002124,204.474676,1.875952,204.47467618139413,0.006359330844959165
11,003,5,1000.24595,161.372237,1.649025,161.37223659100445,0.003106658785717498
11,003,6,1001.022382,219.008217,1.905298,219.00821745023626,0.006874616109950313
11,003,7,1000.05974,206.030729,2.221215,206.0307285966318,0.003568607255012928
11,004,0,1001.045542,181.8598,1.999008,181.85979987606348,0.004107730970519286
11,004,1,1001.000275,215.682488,1.85672,215.68248801164907,0.0032888443491883553
11,004,2,1001.280442,214.7681,2.07829,214.7681004243097,0.012961509224456075
11,004,3,999.510572,217.051383,1.790258,217.0513825663765,0.005440749517039621
11,004,4,996.390469,217.543367,1.702179,217.54336655389972,0.018738753184978113
11,004,5,1000.675225,199.27355,1.787054,199.2735502424852,0.0017187712549875758
11,004,6,999.514001,229.989196,1.900989,229.9891961295746,0.006432897871034517
11,004,7,1001.173496,210.213691,2.187501,210.21369146215034,0.0021315863296976836
11,005,0,1000.711155,154.115464,1.903034,154.11546358518402,0.0031586886256683364
11,005,1,1000.04163,220.74689,1.767031,220.74689020243096,0.00904051768652629
11,005,2,1000.6785,222.398262,1.76384,222.3982619178729,0.0046816583774196095
11,005,3,1001.000004,172.472315,1.59994,172.47231488744038,0.04184891206529544
11,005,4,1001.000309,171.533687,1.74001,171.53368720953236,0.0036879562512235338
11,005,5,1000.667956,196.313054,1.929006,196.31305411736676,0.008366484213197606
11,005,6,1000.3314,155.264359,1.765296,155.2643586289638,0.002634056612283767
11,005,7,1000.704854,199.262702,1.967882,199.26270187580036,0.002327419802461455
11,006,0,1001.112564,203.87128,2.178547,203.8712800499879,0.006567038822306862
11,006,1,1001.045552,274.404616,2.356002,274.4046161642187,0.009918098858319816
11,006,2,1000.089641,192.025931,1.716038,192.0259310066692,0.0025885616033566186
11,006,3,1000.998723,184.980788,2.097341,184.9807875144084,0.022415877579115333
11,006,4,998.902929,183.832292,1.744832,183.8322921206989,0.007460414407773465
11,006,5,1001.420011,209.867506,1.870688,209.8675057658102,0.008226156173807876
11,006,6,1000.990552,230.756064,1.905699,230.75606384760422,0.0015416083977295558
11,006,7,1000.539943,254.898602,2.034582,254.89860214178418,0.002585355103564874
11,007,0,1001.046077,157.55135,2.260194,157.55135025910775,0.000268856086132107
11,007,1,1000.66862,151.682193,1.948006,151.68219311882717,0.006500163320646991
11,007,2,1000.609709,168.15956,1.822591,168.15955955052965,0.0031441949065858545
11,007,3,1000.845302,167.125737,1.756201,167.12573721861943,0.0006093118980766473
11,007,4,1001.006123,163.352423,1.720419,163.35242253961948,0.004858215121057663
11,007,5,1000.628915,209.947039,2.04708,209.9470387046464,0.001564253832347369
11,007,6,1000.680918,197.449023,1.802742,197.4490232763334,0.0027358213333004188
11,007,7,1002.662476,237.223269,2.598983,237.2232693149595,0.010056182480557424
11,008,0,1000.097701,150.332018,2.200375,150.33201801323315,0.009773797554464211
11,008,1,1000.817519,165.756578,1.872735,165.7565782361979,0.004300554427955289
11,008,2,1001.004008,172.453294,1.644402,172.45329366885954,3.357104971800236e-05
11,008,3,997.788225,200.683584,1.752566,200.68358375521893,0.01113481093060836
11,008,4,1001.000703,194.345923,1.983165,194.34592306994207,0.009279586879315405
11,008,5,1000.030414,182.623565,1.790054,182.62356469741584,0.0038866770841585498
11,008,6,1001.632245,176.36537,1.983604,176.3653698061987,0.007411076140220438
11,008,7,999.753751,143.394959,2.051438,143.39495947793716,0.004407425303308036
11,009,0,1000.694295,122.632157,1.580783,122.63215674563675,0.009566546585722403
11,009,1,1001.00361,146.367726,1.672342,146.36772584058878,0.0016321607937089323
11,009,2,1001.015391,169.527395,1.732868,169.52739461345726,0.0015923391098798718
11,009,3,1000.333574,117.941851,1.651079,117.94185078637148,0.013934030223607128
11,009,4,1000.372994,173.651516,1.826007,173.65151590228035,0.0023856079202293824
11,009,5,1001.051746,154.808045,1.720731,154.80804484808178,0.00014786309789017354
11,009,6,999.680358,161.538153,1.851845,161.53815337518526,0.00510826543391743
11,009,7,1002.555754,181.501403,2.355098,181.5014026561615,0.01723851887152455
11,010,0,1000.666761,193.816094,1.869007,193.81609388389543,0.004038742689337165
11,010,1,1000.560297,233.395284,2.235847,233.39528372703145,0.0019478518151836665
11,010,2,1001.173455,226.564103,2.003931,226.56410298758647,0.004409837486003139
11,010,3,1000.504692,186.599801,1.646442,186.59980139883433,0.0036455371262026676
11,010,4,1000.668149,156.948148,1.559066,156.94814833029042,0.004650067941449789
11,010,5,1001.00014,204.707357,1.786459,204.70735695951606,0.0036545924491346044
11,010,6,1000.700002,186.577123,1.836858,186.5771233623401,0.002449713273461627
11,010,7,1000.013872,245.147044,2.071805,245.14704439932572,0.003935305815759033
11,011,0,1001.205271,234.366052,1.887537,234.3660524187845,0.000799662862059277
11,011,1,998.33334,233.740605,1.151508,233.74060532846485,0.021008469893846523
11,011,2,1001.161497,230.483058,1.903719,230.4830580450728,0.005964033800457139
11,011,3,1001.045078,206.640404,1.614855,206.640404143047,0.010593764653177129
11,011,4,1001.058389,237.924641,1.843315,237.9246409958743,0.012839422512821521
11,011,5,1001.002558,207.131533,1.70279,207.13153304238492,0.0031189512239305633
11,011,6,1001.027574,253.297531,1.908292,253.29753132878812,0.0027474780694668978
11,011,7,1000.825389,186.723309,1.981349,186.72330877099628,0.00131367290420734
11,012,0,1000.672583,186.140043,1.858382,186.14004347135554,0.0033027668101049254
11,012,1,1000.339642,175.250696,1.805598,175.25069585359296,0.006432042740547927
11,013,0,1000.680666,138.069171,1.94734,138.06917082580335,0.0009597976132416854
11,013,1,999.618739,197.884373,1.872458,197.8843732126508,0.01240570460216648
11,013,2,998.86009,195.445937,1.563112,195.44593683671857,0.00952945793364921
11,013,3,1000.037605,229.041733,1.596919,229.0417331141014,0.0038279228440167125
11,013,4,999.380381,155.302104,1.478075,155.30210396985456,0.006813053792122469
11,013,5,1001.002379,196.697855,1.692592,196.69785472942874,0.000512298427748522
11,013,6,1000.79853,178.050048,1.7564,178.0500478812476,0.0007958778123315838
11,013,7,1000.068218,199.136458,2.303175,199.13645758539604,0.00418189825789791
11,014,0,995.247664,178.817177,2.043158,178.81717716821458,0.023319995991348406
11,014,1,1001.023891,195.094169,2.002081,195.09416870649306,0.0048845214934427755
11,014,2,1000.387576,196.139347,1.829911,196.1393465865553,0.004508664937402091
11,014,3,1001.12778,193.923249,1.945368,193.9232489143634,0.0023059953084037885
11,014,4,1000.334537,231.133031,1.620377,231.1330307910266,0.006298942254435051
11,014,5,1001.091971,238.026898,1.845999,238.02689777031387,0.03249331300773955
11,014,6,1000.34831,180.458619,1.804623,180.4586188782576,0.00259375725611716
11,014,7,1000.440817,197.806,2.385747,197.80600018004023,0.0025897229365464567
11,015,0,999.165613,183.304474,1.805112,183.30447351644216,0.007201200379206887
11,015,1,1000.533734,176.709299,2.031941,176.70929910952768,0.0029067929313459063
11,015,2,1000.031406,164.933476,1.635171,164.93347625784992,0.014783465264884294
11,015,3,1000.667486,151.866513,1.793033,151.86651339698386,0.0053221257878944385
11,015,4,1000.676123,166.519272,1.710035,166.5192717052027,0.00491165975397614
11,015,5,1001.018403,150.709428,1.713588,150.70942787130792,0.00396744683572207
11,015,6,1001.066158,128.584516,1.773066,128.5845162093528,0.005777918981389222
11,015,7,999.721607,198.33815,2.067379,198.33815039684995,0.012693674087165863
11,016,0,1001.215611,158.988467,1.86851,158.98846683330223,0.05701857393577834
11,016,1,1001.004771,227.138162,1.83104,227.1381619327635,0.0031439049386823258
11,016,2,1000.420451,178.167252,1.629475,178.1672516931872,0.0023479320105368527
11,016,3,1000.709443,224.712007,1.796694,224.71200719327533,0.008601608782442146
11,016,4,1001.004488,249.395981,1.795317,249.3959807252221,0.01473705910536312
11,016,5,999.668712,161.287729,1.683902,161.28772933417048,0.005161631592991214
11,016,6,1000.121312,159.311791,1.897977,159.31179140387403,0.011894683612819978
11,016,7,1000.774375,165.116822,2.122489,165.11682230657274,0.0018376320695192305
11,017,0,1001.003499,157.069609,1.735857,157.06960879240333,0.0029730949637917477
11,017,1,1000.401185,208.822224,1.792245,208.82222350196753,0.00580528941047663
11,017,2,999.790778,248.388745,1.987935,248.38874505045538,0.01467657090761717
11,017,3,1000.716675,202.676738,1.837274,202.67673764157112,0.0010261170861287769
11,017,4,1000.019304,202.498761,1.811706,202.49876128291075,0.0035971959113028397
11,017,5,1001.001779,235.875203,1.646468,235.87520318979338,0.0013328428462326997
11,017,6,1000.353553,254.35185,1.887161,254.3518501734732,0.0053533798589647874
11,017,7,1000.187368,270.285854,2.265712,270.2858543576788,0.0052564504649613136
11,018,0,1000.095463,188.95187,1.762164,188.95187003565474,0.0036026623023039995
11,019,0,1000.116673,207.387688,2.4026,207.38768832061422,0.0031620219755017043
11,019,1,999.292259,195.874073,1.898263,195.8740730227499,0.006411834155472795
11,019,2,999.339227,231.388573,1.718424,231.38857313821995,0.016184379974453555
11,019,3,1000.570566,214.480354,1.880913,214.48035434804476,0.01083985802335366
11,019,4,1001.475183,203.407308,2.036781,203.4073074893252,0.005752331634568065
11,019,5,1000.037653,211.059449,1.587649,211.059448836785,0.003949586415426841
11,019,6,1001.036529,154.435238,1.868677,154.4352380316829,0.001525624010044098
11,019,7,1001.048675,252.714719,2.060134,252.71471937419864,0.0030136791350447224
11,020,0,1001.004624,171.133684,1.904267,171.13368395805384,0.0020513773379721347
11,020,1,1000.673995,159.23058,2.393743,159.23058038631302,0.002272355283780521
11,020,2,1000.814808,107.974119,1.819349,107.97411914567999,0.0020093146969529596
11,020,3,1000.667893,118.343534,1.623655,118.34353378908449,0.003880131173865207
11,020,4,1000.66979,140.977971,1.692698,140.9779710604176,0.004231781919313771
11,020,5,1000.668986,146.407923,1.650227,146.4079230021132,0.0019084709613286543
11,020,6,1000.667479,163.869063,1.79089,163.86906313548073,0.007548273292047307
11,020,7,1000.801538,150.440889,2.62939,150.4408894551809,0.00645606504407009
11,021,0,1001.312556,170.416383,2.054639,170.41638303290992,0.0038249329831124865
11,021,1,1001.024649,173.940535,2.233152,173.9405351785329,0.019765611188105707
11,021,2,1000.504146,164.339012,1.759204,164.33901153891765,0.003383267424199118
11,021,3,999.681951,139.800029,1.821961,139.80002908406536,0.004445739073799113
11,021,4,1000.357389,156.103861,1.898374,156.10386103974162,0.004015683152580279
11,021,5,1001.061206,147.91288,1.827383,147.91287949502038,0.016280662342085438
11,021,6,999.78087,201.077923,1.848926,201.07792311686705,0.006338519237608279
11,021,7,999.538857,176.461463,2.437706,176.4614634791537,0.008640933960991597
11,022,0,1000.797908,169.421729,2.129971,169.42172897886414,0.0008269752648856093
11,022,1,1001.008044,145.379037,1.804289,145.3790370218534,0.011874415342371748
11,022,2,1001.009937,179.960068,1.761962,179.9600675694457,0.006031447155396612
11,022,3,1000.112443,165.106609,1.920928,165.10660917337685,0.009299055902260232
11,022,4,1000.667832,188.48055,1.559254,188.48054987764047,0.0016887234314086974
11,022,5,1001.0068,219.02722,1.777696,219.02722032265092,0.004408094150183554
11,022,6,1000.752954,211.409625,1.822909,211.4096254818869,0.0009660818639044685
11,022,7,1000.68645,172.563814,2.303437,172.56381442462802,0.0031650169377908637
11,023,0,1001.248751,156.362642,1.710539,156.36264191461768,0.007804262256579377
11,023,1,1001.083272,260.917615,2.012315,260.9176154474007,0.009183577891508688
11,023,2,1001.004985,179.913918,1.649359,179.91391803471635,0.004843527723262714
11,023,3,1000.701207,169.631981,1.814021,169.63198106089487,0.002841566939799315
11,023,4,999.885623,221.219422,1.886607,221.21942207138198,0.014023325234996479
11,023,5,1000.807715,178.358362,1.58207,178.3583617198141,0.0008214774933616475
11,023,6,999.612277,190.019619,2.056661,190.01961861556077,0.005230392899933919
11,023,7,1000.799517,196.308729,2.190543,196.3087286001898,0.0025825335808619073
11,024,0,1000.421,172.525574,1.992246,172.5255741632352,0.0023663421497154466
11,024,1,1001.011418,182.353474,1.843178,182.35347354666845,0.021507211928331018
11,024,2,1000.23452,167.489078,1.801136,167.48907777119686,0.0029977982631633512
11,024,3,1001.000449,159.518445,1.779615,159.51844460119278,0.0034919611251948575
11,024,4,1000.676655,220.288876,1.842911,220.2888761813718,0.002914568933119142
11,024,5,1001.102981,235.528479,1.706528,235.5284793175822,0.008411748646158526
11,024,6,1001.556202,208.639508,1.948619,208.63950844275828,0.022690780065024667
11,024,7,1000.594424,140.119975,2.151954,140.11997500294996,0.0026019233027938108
11,025,0,999.768493,189.897513,1.781558,189.89751328936853,0.004337428321550291
11,025,1,1000.668684,185.674969,1.954082,185.67496881682754,0.006454709763421502
11,025,2,998.244926,223.840139,1.839573,223.84013930239433,0.01028677564973808
11,025,3,998.851483,255.244426,1.851589,255.24442613160056,0.030184310325242693
11,025,4,1001.002313,201.981022,1.740988,201.98102223872507,0.0011563875737210236
11,025,5,1000.360238,191.810501,1.688778,191.81050109653577,0.002394394862560709
11,025,6,1001.0015,137.573539,1.844287,137.57353881164693,0.00944923999560856
11,025,7,1001.005013,182.491068,2.861315,182.49106814881796,0.0033532448604631803
11,027,0,1000.680258,166.406992,1.791479,166.40699238146968,0.0031545134267914844
11,027,1,1000.611541,176.755763,2.081057,176.75576319689932,0.005109979484946017
11,027,2,1000.330349,115.670029,1.692325,115.67002941939742,0.0026658732688664716
11,027,3,1000.729411,154.005101,1.739899,154.00510078476407,0.0038859109440295566
11,027,4,1000.371014,202.670121,1.803405,202.67012093971684,0.002309900576747538
11,027,5,1001.021073,167.03874,1.506278,167.03874009967782,6.15967251647333e-05
11,027,6,1000.669159,141.068843,1.742437,141.06884325993386,0.002811353294546034
11,027,7,1000.677401,163.276782,2.247609,163.276781915423,0.0035929546189797327
11,028,0,1000.435988,207.30053,2.157205,207.30052998375072,0.0019315558737049718
11,028,1,1000.733298,252.545528,1.940669,252.5455277163036,0.004041436080018677
11,028,2,1000.681468,165.971601,1.790083,165.97160054288153,0.0010347548996509416
11,028,3,1000.061139,149.276079,1.524074,149.27607857475465,0.003979593907784276
11,028,4,1001.001508,193.265438,1.705699,193.26543840917444,0.004455746958923016
11,028,5,1000.044448,173.708052,1.73392,173.7080519105562,0.003205954745672065
11,028,6,1002.380951,156.055021,2.09452,156.0550211331274,0.00809961377103698
11,028,7,1001.108885,235.772161,2.110174,235.77216063211097,0.007853772361050124
11,029,0,1000.21196,211.469193,1.881096,211.46919279541748,0.0030606692114519708
11,029,1,1001.052223,214.77006,1.820732,214.7700598528602,0.006108777287137768
11,029,2,999.848186,209.164191,1.729596,209.16419063720267,0.019985281357104437
11,029,3,1000.477802,187.321226,1.899557,187.32122594091442,0.007109907150289564
11,029,4,1001.004943,215.211517,1.723896,215.21151659013856,0.009388349024012796
11,029,5,1000.61005,193.395392,1.747395,193.3953915925332,0.006851864961696851
11,029,6,1000.752334,169.84909,2.084319,169.8490902400135,0.0008532660161018823
11,029,7,1000.798007,175.260245,2.210747,175.26024540094605,0.006221483076404797
11,030,0,1000.675596,141.192,1.876323,141.19199994796057,0.0014526351885723583
11,030,1,1001.5225,212.09461,2.20127,212.0946103538253,0.007100040377439172
11,030,2,999.593081,183.420571,1.62396,183.42057078562632,0.0055197313581135795
11,030,3,1000.001074,175.17177,1.652001,175.1717703221288,0.0045656665420285725
11,030,4,1000.669985,185.414089,1.67821,185.41408852098002,0.0018709240914539782
11,030,5,1001.21557,133.569677,1.743838,133.5696770192912,0.0008525732242818268
11,030,6,1001.001832,146.177307,1.667199,146.1773071944022,0.0032234000051987576
11,030,7,1002.625978,186.531735,2.33225,186.53173490072018,0.020178508730486915
11,031,0,1000.963131,188.915274,1.973624,188.91527375447407,0.0013788123814985186
11,031,1,1000.682153,168.598475,1.790195,168.59847494557872,0.0023874680740606897
11,031,2,1000.352703,208.878095,1.614729,208.87809536133167,0.009476297190652936
11,031,3,1000.67086,224.976073,1.739954,224.97607348208854,0.004058151791152644
11,031,4,1001.003062,213.136188,1.77234,213.13618767687439,0.00037953522393426357
11,031,5,1000.005906,182.837854,1.51914,182.83785393378733,0.004417853995777514
11,031,6,1000.41461,182.977627,1.728233,182.97762666795734,0.004822556447223147
11,031,7,1001.140765,202.373611,2.104435,202.37361119901354,0.001279899401096084
11,032,0,1000.674688,191.365513,1.784557,191.36551251451598,0.0017196669224589217
11,032,1,999.690927,197.448115,1.863141,197.44811455713892,0.004605940191731066
11,032,2,1001.258062,179.407654,1.690787,179.40765441905344,0.011176518282401935
11,032,3,1000.66781,185.99572,1.767339,185.99571970963567,0.006647592309351552
11,032,4,1000.468378,183.233429,1.84825,183.23342886315172,0.002077676559614451
11,032,5,998.372078,178.188266,1.512928,178.1882660611653,0.011267886603617092
11,032,6,1000.679572,169.548601,1.745225,169.5486010595748,0.001248815538647109
11,032,7,999.67207,183.215734,2.151722,183.21573351660962,0.0055564435643780195
11,033,0,1000.698097,228.253183,1.896681,228.25318332356807,0.003834849500754949
11,033,1,1000.33471,163.156474,1.677525,163.15647386677503,0.003648612544364658
11,033,2,999.32122,155.81902,1.865811,155.8190201904554,0.006147214566073088
11,033,3,1001.020712,171.114525,1.738731,171.11452478194056,0.020935559127522985
11,033,4,1000.791187,153.529797,1.981953,153.52979702346343,0.00276607265892202
11,033,5,1001.000159,171.654159,1.758612,171.6541586495047,0.0036916794265731507
11,033,6,1000.978037,178.889473,1.893957,178.88947251206662,8.277678859596913e-05
11,033,7,1001.584646,252.093756,2.263771,252.0937557255386,0.008509037106494732
11,034,0,1001.053693,189.337298,1.866302,189.33729780022102,0.0002094209696958628
11,034,1,1000.0028,185.241718,1.742097,185.24171784842417,0.003904513627205095
11,034,2,1000.717934,190.68838,1.838967,190.68838025107422,0.007867180697100611
11,034,3,1000.671369,197.324241,1.748814,197.32424089067706,0.003230012456044758
11,034,4,1000.751035,172.564696,1.991141,172.5646956880785,0.009775938378058627
11,034,5,1000.667048,230.115214,2.070651,230.11521405062703,0.0026294284538966413
11,034,6,1001.04315,130.856345,1.816221,130.85634498827062,0.00777118331671858
11,034,7,998.265088,176.337112,2.393066,176.33711213270348,0.01816095316016117
11,035,0,1001.016496,146.335765,1.836925,146.33576519705352,0.0002637456617164262
11,035,1,1000.348951,175.380392,1.842139,175.38039185689595,0.0058446240375458905
11,035,2,1000.035008,123.547083,1.858954,123.54708321941332,0.0036102651031733285
11,035,3,1000.356667,175.569799,1.793214,175.5697985541689,0.005472721646690783
11,035,4,999.032681,251.316936,1.741118,251.316936168167,0.007812371805740915
11,035,5,997.930139,147.081086,1.838826,147.0810856260308,0.010618781030809842
11,035,6,1001.116808,166.066199,1.789752,166.06619916687436,0.007480132740471324
11,035,7,998.928633,187.475679,2.287519,187.47567884608736,0.011714132682946979
11,037,0,1000.752886,153.889648,1.968497,153.88964765398512,0.0020810557769236518
11,037,1,1000.666721,191.126312,1.440708,191.1263119907363,0.0020763039428586126
11,037,2,999.203119,139.87254,1.745717,139.87253995409728,0.006259917890406915
11,037,3,1001.018064,132.597913,1.714507,132.5979126872817,6.156464628186981e-05
11,037,4,1000.681055,180.334641,1.862978,180.33464060484857,0.001586166307680037
11,037,5,1000.359414,175.665359,1.756896,175.6653591091032,0.0058175697519655505
11,037,6,1001.005812,148.263323,1.832075,148.26332330355694,0.00723336929113299
11,037,7,1000.378131,221.51391,2.288725,221.5139097974012,0.005260496859776125
11,038,0,999.919322,189.424131,1.8434,189.42413125305546,0.004300985912519229
11,038,1,999.100012,243.1826,2.923039,243.18260008050362,0.0181994338297851
11,038,2,1001.000642,160.436781,1.939779,160.43678074049967,0.005500145817820124
11,038,3,1000.336481,152.197363,1.761286,152.1973631494429,0.007283621684374117
11,038,4,1000.170766,191.809418,1.939988,191.8094177826086,0.0027316855391311384
11,038,5,998.861389,178.052106,1.799832,178.05210588077236,0.00805940355830526
11,038,6,999.462489,133.245104,2.023497,133.24510376253644,0.0060821421917208445
11,038,7,1000.360128,168.415333,2.416014,168.41533302018593,0.007645454315086957
11,039,0,999.164221,223.407599,1.910908,223.4075992496998,0.006548351546278348
11,039,1,1001.003051,182.228361,1.823233,182.22836084721948,0.0033322716743148526
11,039,2,999.95286,171.432308,1.765058,171.43230760251024,0.0242734716381064
11,039,3,1000.758429,136.927681,1.776531,136.92768074692825,0.0026817018152081214
11,039,4,1001.325926,243.708478,1.937673,243.70847830945365,0.0050747606596140745
11,039,5,1001.006375,196.799395,1.667617,196.79939459833437,0.002854579431790982
11,039,6,1001.601932,168.003575,1.902628,168.00357532751792,0.0026924708840631788
11,039,7,1000.129133,207.819169,1.889153,207.81916920570313,0.0028264688904485738
11,040,0,1001.00026,238.701916,1.86469,238.7019159265242,0.0032870747807677092
11,040,1,1000.526784,199.978262,1.856211,199.97826205028568,0.002186128116904151
11,040,2,1001.023431,196.843291,1.78903,196.8432912515627,0.007227584234175754
11,040,3,998.899601,167.754174,1.66102,167.75417434697252,0.008144656302897953
11,040,4,996.632417,211.607041,1.77846,211.60704065490637,0.015293717849001355
11,040,5,1001.00852,196.806173,1.63385,196.80617330055057,0.0048642959417575455
11,040,6,1000.812398,213.715503,1.972639,213.71550329153476,0.002507072506044543
11,040,7,1000.688176,201.891839,2.048534,201.8918390889932,0.0025695563313957587
11,041,0,1000.08573,194.864354,1.796752,194.86435447397432,0.0036625145617201833
